,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
48,Mata Sundri College for Women,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.7,39,255,2025,"₹ 84,375","3,60,000","8,00,000",
49,Sophia College for Women,BA,BA, Mumbai, Maharashtra,4.2,40,255,2025,"₹ 40,140",,,AICTE 
50,Presidency College,BA,BA Journalism, Bangalore, Karnataka,4,41,255,2025,"₹ 2,00,000","5,50,000","12,00,000","AICTE, UGC "
51,K J Somaiya College of Arts & Commerce,BA,BA Psychology, Mumbai, Maharashtra,4.1,42,255,2025,"₹ 47,660",,,
52,Bharati College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.8,43,255,2025,"₹ 47,665",,,
53,Motilal Nehru College,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,3.9,44,255,2025,"₹ 47,635",,,
54,Kishinchand Chellaram College,BA,"BA Film, Television and New Media Production", Mumbai, Maharashtra,4.1,45,255,2025,"₹ 1,79,835",,,
55,College of Vocational Studies,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,3.7,46,255,2025,"₹ 75,200","5,00,000","23,05,000",
56,Dr. Bhim Rao Ambedkar College,BA,BA, New Delhi, Delhi NCR,3.7,47,255,2025,"₹ 40,720","1,25,000","15,00,000",
57,Shyama Prasad Mukherji College For Women,BA,BA, New Delhi, Delhi NCR,3.9,48,255,2025,"₹ 29,520",,,"NCTE, UGC "
58,St Xavier's College,BA,BA Psychology, Ahmedabad, Gujarat,4.1,49,255,2025,"₹ 36,330",,,UGC 
59,Dyal Singh College,BA,BA, New Delhi, Delhi NCR,3.9,50,255,2025,"₹ 38,495",,"23,50,000",
60,Jai Hind College,BA,BA, Mumbai, Maharashtra,4.2,51,255,2025,"₹ 29,910",,,UGC 
61,Vivekananda College,BA,BA {Hons.} Applied Psychology, New Delhi, Delhi NCR,3.8,52,255,2025,"₹ 44,800",,,UGC 
62,Patna Women's College,BA,BA {Hons.} Economics, Patna, Bihar,4,53,255,2025,"₹ 97,700",,"5,00,000",UGC 
63,Sri  Aurobindo College (Evening),BA,BA {Hons.} Hindi, New Delhi, Delhi NCR,3.3,54,255,2025,"₹ 31,500",,,
64,Shivaji College,BA,BA, New Delhi, Delhi NCR,3.9,55,255,2025,"₹ 57,410","6,00,000","24,00,000",
65,Sacred Heart College,BA,BA {Hons.} Visual Communication Design, Ernakulam, Kerala,4.2,56,255,2025,"₹ 4,14,490","7,50,000","46,50,000",AICTE 
66,Ram Lal Anand College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.8,57,255,2025,"₹ 56,790",,"6,60,000",AICTE 
67,B.K Birla College Of Arts Science & Commerce,BA,BA, Thane, Maharashtra,3.8,58,255,2025,"₹ 22,410",,,UGC 
68,Ramnarain Ruia Autonomous College,BA,BA Psychology, Mumbai, Maharashtra,4,59,255,2025,"₹ 74,239",,,UGC 
69,Ganpat University,BA,BA {Hons.} Psychology, Mehsana, Gujarat,4.3,60,255,2025,"₹ 4,00,000","3,00,000","17,24,000","AICTE, COA, PCI, INC, GNC "
70,Deshbandhu College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.8,61,255,2025,"₹ 47,223","3,00,000","28,00,000",
71,Maharaja Agrasen College,BA,BA, New Delhi, Delhi NCR,3.9,62,255,2025,"₹ 52,360","7,00,000","30,00,000",
72,St. Xavier's College,BA,BA {Hons.} Geography, Ranchi, Jharkhand,4,63,255,2025,"₹ 1,67,600","5,50,000","42,00,000","NCTE, UGC "
73,Sri Guru Nanak Dev Khalsa College,BA,BA {Hons.} Business Economics, New Delhi, Delhi NCR,3.7,64,255,2025,"₹ 62,045",,,UGC 
74,Veernari Chakali Ilamma Women’s University,BA,BA Psychology, Hyderabad, Telangana,4.1,65,255,2025,"₹ 50,820",,,UGC 
75,Marian College Kuttikanam,BA,BA Journalism And Communication Studies, Peermade, Kerala,4.3,66,255,2025,"₹ 1,68,570","4,00,000","14,00,000","AICTE, NBA "
76,PGDAV College,BA,BA, New Delhi, Delhi NCR,3.9,67,255,2025,"₹ 43,480","4,80,000","23,00,000",
77,Mehr Chand Mahajan Dayanand Anglo Vedic College for Women,BA,BA, Chandigarh, Chandigarh,4,68,255,2025,"₹ 83,125",,"5,00,000",
